name,team,battingStyle,bowlingStyle,playingRole,image,description
Will Jacks,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoOBnKC_mAAepkgaYGUX-Iv4MGADjvignfIQ&s,
Akash Madhwal,MI,Right hand Bat,Right arm Medium fast,Bowler,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfbHvUbhWf6LD4lHUGwup1T94nIVPm4TvbRg&s,
Suryakumar Yadav,MI,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,https://circleofcricket.com/post_image/post_image_43758bd.png,
Quinton de Kock,LSG,Left hand Bat,,Wicketkeeper Batter,https://www.lucknowsupergiants.in/static-assets/images/players/28035.png?v=12.64,
Arshad Khan,LSG,Left hand Bat,Left arm Medium,Bowler,https://www.lucknowsupergiants.in/static-assets/images/players/82839.png?v=12.64,
Yash Thakur,LSG,Right hand Bat,Right arm Fast medium,Bowler,https://www.lucknowsupergiants.in/static-assets/images/players/66819.png?v=12.62,
Vaibhav Arora,KKR,Right hand Bat,Right arm Fast medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/16.png,
Krunal Pandya,LSG,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://www.lucknowsupergiants.in/static-assets/images/players/63788.png?v=12.64,
Angkrish Raghuvanshi,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter,https://www.kkr.in/static-assets/images/players/88352.png?v=111.72,"Angkrish Raghuvanshi, the tall, right-hand top-order batter, was India's highest run-getter at the 2022 Under-19 World Cup in the Caribbean, which India won. Raghuvanshi finished fourth on the overall scorers' list with 278 runs from six innings, though he recorded a two-ball duck against England in the final."
Akash Deep,RCB,Right hand Bat,Right arm Fast medium,Bowler,https://ipltable.in/wp-content/uploads/2024/03/image-54-700x700.jpeg,"Akash Deep's is the ideal story of how years of toil gets you a dream Test debut where Rahul Dravid hands you the cap, and in the first hour of the game, you run through the opposition's top order."
Arshad Khan,LSG,Left hand Bat,Left arm Medium,Bowler,https://www.lucknowsupergiants.in/static-assets/images/players/82839.png?v=12.64,
Shamar Joseph,LSG,Left hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/3105.png,"The first time was a surprise, and the second a shock. Five wickets in Adelaide, and seven more in Brisbane, with a badly injured toe, to bowl West Indies to their first Test win in Australia in nearly 27 years. Shamar Joseph did all this in his debut series on the Australia tour of 2023-24."
Nicholas Pooran,LSG,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/136.png,
Ravi Bishnoi,LSG,Right hand Bat,Legbreak Googly,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/520.png,"Ravi Bishnoi is a modern-day legspinner who likes to trouble batters with his fast legbreaks, sliders and googlies instead of deceiving them with flight, drift and dip."
Krunal Pandya,LSG,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://www.lucknowsupergiants.in/static-assets/images/players/63788.png?v=12.64,
Marcus Stoinis,LSG,Right hand Bat,Right arm Medium,Batting Allrounder,https://www.lucknowsupergiants.in/static-assets/images/players/4311.png?v=12.64,
KL Rahul(c),LSG,Right hand Bat,,Wicketkeeper Batter,"https://m.economictimes.com/thumb/msid-114814828,width-1200,height-900,resizemode-4,imgsize-46278/kl-rahul.jpg",
Deepak Hooda,LSG,Right hand Bat,Right arm Offbreak,Allrounder,https://www.lucknowsupergiants.in/static-assets/images/players/63748.png?v=12.64,
Ayush Badoni,LSG,Right hand Bat,Right arm Offbreak,Batter,https://documents.iplt20.com/ipl/IPLHeadshot2024/985.png ,
Mohsin Khan,LSG,Left hand Bat,Left arm Medium fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/541.png,
Lockie Ferguson,RCB,Right hand Bat,Right arm Fast,Bowler,https://cricclubs.com/documentsRep/profilePics/dca1a405-04d3-4222-b5ec-378a13d035d7.jpeg,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. "
Jitesh Sharma,PBKS,Right hand Bat,,Wicketkeeper Batter,https://www.punjabkingsipl.in/static-assets/images/players/64724.png?v=6.18,
Vidwath Kaverappa,PBKS,Right hand Bat,Right arm Fast medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/1564.png,
